#"FID1 - B:Signal #1 LEO_027_1eq_02h.D"
#Point,X(Minutes),Y(Response Units)
927,0.3090,70566
928,0.3093,70409
929,0.3097,70530
930,0.3100,70693
931,0.3103,70602
932,0.3107,70646
933,0.3110,70462
934,0.3113,70595
935,0.3117,70648
936,0.3120,70566
937,0.3123,70512
938,0.3127,70457
939,0.3130,70573
940,0.3133,70757
941,0.3137,70585
942,0.3140,70575
943,0.3143,70387
944,0.3147,70529
945,0.3150,70575
946,0.3153,70504
947,0.3157,70473
948,0.3160,70463
949,0.3163,70587
950,0.3167,70810
951,0.3170,70628
952,0.3173,70625
953,0.3177,70425
954,0.3180,70523
955,0.3183,70670
956,0.3187,70569
957,0.3190,70638
958,0.3193,70468
959,0.3197,70591
960,0.3200,70675
961,0.3203,70599
962,0.3207,70568
963,0.3210,70517
964,0.3213,70565
965,0.3217,70711
966,0.3220,70522
967,0.3223,70562
968,0.3227,70405
969,0.3230,70543
970,0.3233,70646
971,0.3237,70570
972,0.3240,70501
973,0.3243,70394
974,0.3247,70485
975,0.3250,70554
976,0.3253,70640
977,0.3257,70562
978,0.3260,70489
979,0.3263,70395
980,0.3267,70507
981,0.3270,70719
982,0.3273,70702
983,0.3277,70706
984,0.3280,70574
985,0.3283,70599
986,0.3287,70745
987,0.3290,70629
988,0.3293,70678
989,0.3297,70501
990,0.3300,70591
991,0.3303,70537
992,0.3307,70757
993,0.3310,70595
994,0.3313,70625
995,0.3317,70381
996,0.3320,70579
997,0.3323,70679
998,0.3327,70618
999,0.3330,70589
1000,0.3333,70488
1001,0.3337,70589
1002,0.3340,70578
1003,0.3343,70658
1004,0.3347,70592
1005,0.3350,70633
1006,0.3353,70500
1007,0.3357,70558
1008,0.3360,70615
1009,0.3363,70518
1010,0.3367,70510
1011,0.3370,70390
1012,0.3373,70467
1013,0.3377,70491
1014,0.3380,70681
1015,0.3383,70655
1016,0.3387,70617
1017,0.3390,70469
1018,0.3393,70518
1019,0.3397,70722
1020,0.3400,70570
1021,0.3403,70576
1022,0.3407,70366
1023,0.3410,70500
1024,0.3413,70670
1025,0.3417,70580
1026,0.3420,70521
1027,0.3423,70375
1028,0.3427,70492
1029,0.3430,70741
1030,0.3433,70623
1031,0.3437,70540
1032,0.3440,70375
1033,0.3443,70460
1034,0.3447,70575
1035,0.3450,70701
1036,0.3453,70614
1037,0.3457,70562
1038,0.3460,70489
1039,0.3463,70557
1040,0.3467,70738
1041,0.3470,70576
1042,0.3473,70622
1043,0.3477,70463
1044,0.3480,70574
1045,0.3483,70689
1046,0.3487,70615
1047,0.3490,70586
1048,0.3493,70480
1049,0.3497,70579
1050,0.3500,70693
1051,0.3503,70597
1052,0.3507,70539
1053,0.3510,70437
1054,0.3513,70489
1055,0.3517,70531
1056,0.3520,70623
1057,0.3523,70598
1058,0.3527,70558
1059,0.3530,70455
1060,0.3533,70523
1061,0.3537,70784
1062,0.3540,70709
1063,0.3543,70719
1064,0.3547,70449
1065,0.3550,70538
1066,0.3553,70671
1067,0.3557,70621
1068,0.3560,70599
1069,0.3563,70478
1070,0.3567,70558
1071,0.3570,70740
1072,0.3573,70584
1073,0.3577,70535
1074,0.3580,70366
1075,0.3583,70469
1076,0.3587,70706
1077,0.3590,70621
1078,0.3593,70684
1079,0.3597,70459
1080,0.3600,70546
1081,0.3603,70619
1082,0.3607,70592
1083,0.3610,70571
1084,0.3613,70499
1085,0.3617,70556
1086,0.3620,70700
1087,0.3623,70542
1088,0.3627,70514
1089,0.3630,70384
1090,0.3633,70452
1091,0.3637,70663
1092,0.3640,70528
1093,0.3643,70584
1094,0.3647,70396
1095,0.3650,70521
1096,0.3653,70655
1097,0.3657,70570
1098,0.3660,70495
1099,0.3663,70325
1100,0.3667,70578
1101,0.3670,70606
1102,0.3673,70572
1103,0.3677,70413
1104,0.3680,70446
