#"FID1 - B:Signal #1 LEO_027_1eq_05h.D"
#Point,X(Minutes),Y(Response Units)
1267,0.4223,69617
1268,0.4227,69546
1269,0.4230,69666
1270,0.4233,69744
1271,0.4237,69730
1272,0.4240,69665
1273,0.4243,69604
1274,0.4247,69696
1275,0.4250,69723
1276,0.4253,69618
1277,0.4257,69483
1278,0.4260,69436
1279,0.4263,69587
1280,0.4267,69687
1281,0.4270,69680
1282,0.4273,69681
1283,0.4277,69627
1284,0.4280,69730
1285,0.4283,69713
1286,0.4287,69715
1287,0.4290,69649
1288,0.4293,69624
1289,0.4297,69720
1290,0.4300,69812
1291,0.4303,69783
1292,0.4307,69720
1293,0.4310,69642
1294,0.4313,69726
1295,0.4317,69726
1296,0.4320,69692
1297,0.4323,69655
1298,0.4327,69627
1299,0.4330,69746
1300,0.4333,69774
1301,0.4337,69760
1302,0.4340,69644
1303,0.4343,69624
1304,0.4347,69718
1305,0.4350,69785
1306,0.4353,69705
1307,0.4357,69664
1308,0.4360,69625
1309,0.4363,69746
1310,0.4367,69758
1311,0.4370,69700
1312,0.4373,69612
1313,0.4377,69501
1314,0.4380,69532
1315,0.4383,69573
1316,0.4387,69593
1317,0.4390,69595
1318,0.4393,69622
1319,0.4397,69740
1320,0.4400,69824
1321,0.4403,69758
1322,0.4407,69696
1323,0.4410,69605
1324,0.4413,69698
1325,0.4417,69745
1326,0.4420,69758
1327,0.4423,69667
1328,0.4427,69620
1329,0.4430,69676
1330,0.4433,69752
1331,0.4437,69633
1332,0.4440,69584
1333,0.4443,69514
1334,0.4447,69732
